Source,Year,Month of the year,Users,New Users,Sessions,Bounce Rate,Pageviews,Avg. Session Duration,Conversion Rate (%),Transactions,Revenue,Quantity Sold,Device
google,2019,11,126870,104020,194667,0.7159,455159,0:01:11,0.2,394,83244,482,T
google,2020,5,120625,98574,194114,0.6456,559509,0:01:32,0.69,1347,203552,2402,T
google,2019,10,123361,104308,181175,0.4191,368907,0:01:05,0.26,477,94282,599,T
google,2019,9,106551,88428,170329,0.7592,368803,0:01:01,0.18,311,54971,415,PC
google,2020,6,102123,82461,163446,0.671,425410,0:01:20,0.7,1138,167113,1987,PC
google,2019,12,91043,70326,142637,0.6706,370798,0:01:20,0.34,486,103001,607,PC
google,2020,1,83031,64103,133736,0.6946,373356,0:01:23,0.45,601,128552,777,PC
google,2020,7,84343,73239,125423,0.7116,292263,0:01:12,0.58,730,98161,1360,PC
google,2020,2,82626,68145,125318,0.7006,328822,0:01:24,0.52,657,126137,981,M
google,2020,3,73844,61557,110546,0.7219,266187,0:01:15,0.48,531,96195,843,M
google,2019,12,88579,75361,106966,0.562,333480,0:01:55,0.21,225,47724,317,M
google,2020,4,73349,62794,104146,0.6712,288195,0:01:25,0.6,622,95367,1150,PC
Bing,2020,5,68869,55769,99838,0.5098,325311,0:01:38,0.47,471,58744,819,PC
google,2020,1,82671,72520,99500,0.6096,299723,0:01:48,0.25,253,55954,377,PC
google,2019,11,79783,65883,98400,0.5517,342257,0:02:13,0.22,218,57597,343,PC
yahoo,2020,5,82246,81585,90447,0.8613,111745,0:00:26,0,0,0,0,T
google,2020,2,69129,58861,82905,0.6134,238736,0:01:51,0.35,294,63161,500,T
google,2019,10,65953,55972,80301,0.3672,263957,0:02:14,0.33,268,60862,419,T
Bing,2020,4,50516,43034,74190,0.5075,247484,0:01:35,0.38,279,31663,489,T
google,2020,5,55342,48064,66180,0.583,213302,0:02:07,0.52,341,54626,742,T
Baidu,2019,10,33658,4533,62972,0.3404,164136,0:01:46,0.25,156,30842,261,T
google,2020,6,50645,44609,60789,0.6044,181511,0:01:58,0.53,322,47867,678,T
google,2020,3,48288,41139,58580,0.6119,174115,0:02:00,0.31,183,32795,325,PC
google,2020,8,42747,35935,56931,0.6481,149505,0:01:29,0.48,272,43561,530,PC
Baidu,2019,11,31370,3721,55292,0.6209,143387,0:01:42,0.16,88,18327,144,PC
Bing,2020,6,36191,27156,51894,0.4967,167903,0:01:37,0.7,364,42734,635,PC
google,2020,7,43010,38395,50567,0.6229,140013,0:01:54,0.38,190,27580,341,PC
google,2020,8,42815,38735,50550,0.6345,135664,0:01:48,0.4,204,31686,374,PC
google,2019,9,40697,34012,48854,0.5557,178347,0:02:16,0.24,117,24924,228,PC
AOL,2020,7,42982,42730,45898,0.8625,78133,0:00:34,0.15,67,9358,112,PC
Bing,2020,3,25294,20428,40622,0.5376,121931,0:01:28,0.51,208,24097,356,PC
